Jahr;Geburten;Sterbefälle;Natürlicher Saldo
1950;1116701;748329;368372
1951;1106380;752697;353683
1952;1105084;767639;337445
1953;1095029;790654;304375
1954;1109743;775291;334452
1955;1113408;795938;317470
1956;1137169;812111;325058
1957;1165555;840195;325360
1958;1175870;818418;357452
1959;1243922;835402;408520
1960;1261614;876721;384893
1961;1313505;850300;463205
1962;1316534;878814;437720
1963;1355595;895070;460525
1964;1357304;870319;486985
1965;1325386;907882;417504
1966;1318303;911984;406319
1967;1272276;914417;357859
1968;1214968;976521;238447
1969;1142366;988092;154274
1970;1047737;975664;72073
1971;1013396;965623;47773
1972;901657;965689;-64032
1973;815969;962988;-147019
1974;805500;956573;-151073
1975;782310;989649;-207339
1976;798334;966873;-168539
1977;805496;931155;-125659
1978;808619;955550;-146931
1979;817217;944474;-127257
1980;865789;952371;-86582
1981;862100;954436;-92336
1982;861275;943832;-82557
1983;827933;941032;-113099
1984;812292;917299;-105007
1985;813803;929649;-115846
1986;848232;925426;-77194
1987;867969;901291;-33322
1988;892993;900627;-7634
1989;880459;903441;-22982
1990;905675;921445;-15770
1991;830019;911245;-81226
1992;809114;885443;-76329
1993;798447;897270;-98823
1994;769603;884661;-115058
1995;765221;884588;-119367
1996;796013;882843;-86830
1997;812173;860389;-48216
1998;785034;852382;-67348
1999;770744;846330;-75586
2000;766999;838797;-71798
2001;734475;828541;-94066
2002;719250;841686;-122436
2003;706721;853946;-147225
2004;705622;818271;-112649
2005;685795;830227;-144432
2006;672724;821627;-148903
2007;684862;827155;-142293
2008;682514;844439;-161925
2009;665126;854544;-189418
2010;677947;858768;-180821
2011;662685;852328;-189643
2012;673544;869582;-196038
2013;682069;893825;-211756
2014;714927;868356;-153429
2015;737575;925200;-187625
2016;792141;910902;-118761
2017;784901;932272;-147371
2018;787523;954874;-167351
2019;778090;939520;-161430
2020;773144;985572;-212428
