Week of death,28 day definition,60 day definition
27,220,412
28,170,340
29,120,260
30,96,213
31,63,152
32,62,135
33,55,137
34,55,101
35,54,90
36,49,105
37,85,134
38,145,179
39,249,280
40,366,391
41,538,580
42,811,849
43,1273,1332
44,1768,1841
45,2162,2284
46,2480,2631
47,2747,2960
48,2752,3065
49,2559,2924
50,2618,3056
51,2869,3358
52,3631,4191
53,4408,4938
1,6079,6669
2,7722,8369
3,7939,8662
4,6636,7437
5,4837,5796
6,3513,4580
7,2508,3606
8,1540,2505
9,999,1858
10,693,1397
11,450,1014
12,270,669
13,196,510
14,143,381
15,117,306
16,100,243
17,68,169
18,60,143
19,49,117
20,32,83
21,46,99
22,46,83
23,50,93
24,83,113
25,83,104
26,98,108
